#iPhone12,0.05900642195125497
#AppleEvent,0.05271889414731536
#Apple,0.03800418138741218
#iPhone12Pro,0.035019571106821704
#iPhone,0.034387328664746836
#AmazonPrimeDay,0.02999835017642238
#iPhone12mini,0.027401986342116665
#GBBO,0.026159594426524376
#HomePodMini,0.02611190288835195
#COVID19,0.025836758980138836
#5Gsfor5G,0.02504303136363919
#iphone12,0.02398016223369033
#EndSWAT,0.02383622044058803
#MagSafe,0.02281987486570941
#5G,0.022420219634411223
#PortfolioDay,0.02238029195580039
#GERSUI,0.022147616957891286
#apple,0.021835060754432277
#iPhone12Series,0.0213386792849004
#iPhone12ProMax,0.02129945129868149
#HomePod,0.01978079429831417
#TentacionesDBT3,0.018948174555506368
#iPhone5,0.01878064971512293
#iPhone12Mini,0.018335134955018772
#TedCruz,0.016777683607351875
#WalangPasok,0.016754486881829313
#AmyConeyBarrett,0.015732915272958125
#Titans,0.015139903286945698
#\u0627\u064a\u0641\u0648\u064612,0.014994847762312736
#iPhone11,0.014985239886981538
#\u0645\u0624\u062a\u0645\u0631_\u0622\u0628\u0644,0.014855169490313387
#gautamgambhir,0.014779926832984552
#Springsteen,0.014682408435981424
#SWAT,0.014544742985083518
#TGFamily,0.014174997643270971
#\u30bb\u30af\u30beANNP,0.013864769128966321
#EndSARS,0.013320409886957763
#iPhone11ProMax,0.013005525686847881
#SalarioRosa,0.012869111927231648
#wednesdaymorning,0.012275929113435708
#AppleCensorsBelarus,0.011869561996541269
#wereydeydisguise,0.011274896864395915
#PrimeDayAmazon,0.011253658282075264
#MasumlarApartman\u0131,0.009895869410613456
#kpop,0.009638664298022844
#followtrick,0.009432065839955222
#AFazenda12,0.009379333358729303
#giveaway,0.009256953594409048
#winner,0.009256953594409048
#supmycase,0.009256953594409048
#AFazenda,0.00913666895217551
